PR_ID,Title,Status,Author,Creation_Date,Completion_Date,Duration_Hours,Source_Branch,Target_Branch,Reviewer_Count,Approvals,Rejections,Is_Completed,Is_Abandoned
1241,19582 - Run Consolidation script with No Transacti...,completed,unknown@unknown.com,2025-04-16 23:05,Pending,0,feature/19582-Run-Consolidation-script-with-No-Transaction,develop,3,3,0,True,False
1240,19551 - [WWR] Repair edit team menu,completed,unknown@unknown.com,2025-04-16 19:43,Pending,0,feature/19551-manage-team-improvements,develop,3,3,0,True,False
1239,Add missing access to conversations messages,completed,unknown@unknown.com,2025-04-15 07:05,Pending,0,feature/add-missing-access-to-conversations-messages-for-user,develop,4,3,0,True,False
1238,Merge master into develop on account of 1.2.12,completed,unknown@unknown.com,2025-04-11 19:59,Pending,0,master,develop,0,0,0,True,False
1237,Merge release 1.2.12 into master,completed,unknown@unknown.com,2025-04-11 19:58,Pending,0,release/1.2.12,master,0,0,0,True,False
1234,19435 - Countries order in trips Zinnia,completed,unknown@unknown.com,2025-04-10 21:16,Pending,0,feature/19435-Countries-order-in-trips,develop,3,1,0,True,False
1233,[WWR] Restore hover over tips in SRP,completed,unknown@unknown.com,2025-04-09 19:29,Pending,0,feature/15614-Restore-hover-over-tips-in-SRP,develop,3,2,0,True,False
1229,Merge master into develop on account of 1.2.11,completed,unknown@unknown.com,2025-04-08 13:12,Pending,0,master,develop,0,0,0,True,False
1228,Merge release 1.2.11 into master,completed,unknown@unknown.com,2025-04-08 13:11,Pending,0,release/1.2.11,master,0,0,0,True,False
1225,Stories from Sprint 25-6 - First part,completed,unknown@unknown.com,2025-04-04 14:34,Pending,0,feature/stories-from-sprint-25-6-first-part,develop,3,3,0,True,False
1224,18672 - [IPM] Inaccurate Travellers Information (A...,completed,unknown@unknown.com,2025-04-04 11:27,Pending,0,feature/IPM-Travellers-Age-fix,develop,3,3,0,True,False
1221,"Add a ""Naming"" section with Name and Description f...",completed,unknown@unknown.com,2025-04-01 20:22,Pending,0,feature/15354-Add-Name-and-Description-to-Q-Invites,develop,3,2,0,True,False
1220,17598 - [IPM and SPEAKERS] Loading improved by run...,completed,unknown@unknown.com,2025-03-31 21:44,Pending,0,feature/17598-improve-loading-on-user-teams,develop,3,2,0,True,False
1219,19007 - [IPM] Display Current User in Speakers/Tra...,completed,unknown@unknown.com,2025-03-31 19:42,Pending,0,feature/19007-set-CurrentUser-on-IPM-email-templates,develop,3,3,0,True,False
1217,Merge master into develop on account of 1.2.10,completed,unknown@unknown.com,2025-03-30 20:32,Pending,0,master,develop,0,0,0,True,False
1216,Merge release 1.2.10 into master,completed,unknown@unknown.com,2025-03-30 20:32,Pending,0,release/1.2.10,master,0,0,0,True,False
1215,fix access to reports/dashboards using the right u...,completed,unknown@unknown.com,2025-03-30 19:58,Pending,0,hotfix/fix-access-to-certain-zinnia-sections-retrieve-user-base-in-selected-year,release/1.2.10,0,0,0,True,False
1213,Merge master into develop on account of 1.2.9,completed,unknown@unknown.com,2025-03-26 21:06,Pending,0,master,develop,0,0,0,True,False
1212,Merge release 1.2.9 into master,completed,unknown@unknown.com,2025-03-26 21:05,Pending,0,release/1.2.9,master,0,0,0,True,False
1211,[IPM] Remove USA (GCR) from IPM regions list,completed,unknown@unknown.com,2025-03-25 20:59,Pending,0,feature/18997-IPM-Remove-USA-CGR,develop,3,2,1,True,False
1210,Added new column 'CustomExportFileName' on Chart t...,completed,unknown@unknown.com,2025-03-25 18:44,Pending,0,feature/13567-export-the-activity-information-for-my-region-for-field,develop,3,2,0,True,False
1205,18965 - Implement signalR communication in Zinnia,completed,unknown@unknown.com,2025-03-19 02:15,Pending,0,feature/18412-add-signalR,develop,3,2,0,True,False
1204,Dashboard Page - add new option 'to auto refresh' ...,completed,unknown@unknown.com,2025-03-18 09:44,Pending,0,feature/18955-Dashboard-Page-add-new-option-to-auto-refresh-in-seconds,develop,3,1,0,True,False
1203,Merge master into develop on account of 1.2.8,completed,unknown@unknown.com,2025-03-17 10:15,Pending,0,master,develop,0,0,0,True,False
1202,Merge release 1.2.8 into master,completed,unknown@unknown.com,2025-03-17 10:12,Pending,0,release/1.2.8,master,0,0,0,True,False
1196,Sync local folder with generated sql files to dest...,completed,unknown@unknown.com,2025-03-12 12:28,Pending,0,feature/18776-sync-sql-folders,develop,3,1,0,True,False
1195,[GO] Added Granting Adjustment Journal to Base Pro...,completed,unknown@unknown.com,2025-03-11 18:44,Pending,0,feature/18413-Adjustment-journal,develop,3,3,0,True,False
1192,Add NoAutoFixOfPackageConsolidationIssue to interf...,completed,unknown@unknown.com,2025-03-11 12:53,Pending,0,feature/18415-add-NoAutoFixOfPackageConsolidationIssue-to-interface,develop,3,3,0,True,False
1191,Normalize line endings; add readme files,completed,unknown@unknown.com,2025-03-10 12:56,Pending,0,feature/18793-normalize-line-endings,develop,3,1,0,True,False
1188,Merge master into develop on account of 1.2.7,completed,unknown@unknown.com,2025-03-07 18:18,Pending,0,master,develop,0,0,0,True,False
1187,Merge release 1.2.7 into master,completed,unknown@unknown.com,2025-03-07 18:17,Pending,0,release/1.2.7,master,0,0,0,True,False
1183,[GO] Update inventory pages to show the Actual Abs...,completed,unknown@unknown.com,2025-03-05 21:07,Pending,0,feature/18423-inventory-pages,develop,3,3,0,True,False
1182,[IPM] Display also offers that have cancelled trip...,completed,unknown@unknown.com,2025-03-05 20:44,Pending,0,feature/17763-display-offers-with-canceled-trips,develop,2,2,0,True,False
1181,Merge master into develop on account of 1.2.6,completed,unknown@unknown.com,2025-03-05 16:19,Pending,0,master,develop,0,0,0,True,False
1180,Merge release 1.2.6 into master,completed,unknown@unknown.com,2025-03-05 16:17,Pending,0,release/1.2.6,master,0,0,0,True,False
1178,[GO] Redesign the year setting page in GO,completed,unknown@unknown.com,2025-03-04 20:50,Pending,0,feature/18417-Redesign-the-year-setting-page-in-GO,develop,2,2,0,True,False
1177,Restore the ability for users to configure their o...,completed,unknown@unknown.com,2025-03-04 20:48,Pending,0,feature/18221-Restore-the-ability-for-users-to-configure-their-own-email-settings,develop,2,1,0,True,False
1176,Add sql tools; included all the raw sql scripts in...,completed,unknown@unknown.com,2025-03-04 12:49,Pending,0,feature/17820-add-sql-tools,develop,3,1,0,True,False
1174,"[WWR] ""copy to next year"" for full country dossier",completed,unknown@unknown.com,2025-03-03 11:27,Pending,0,feature/WWR-copy_to_next_year-for-full-country-dossier,develop,2,2,0,True,False
1151,Merge master into develop on account of 1.2.4,completed,unknown@unknown.com,2025-02-11 15:23,Pending,0,master,develop,1,0,0,True,False
1150,Merge release 1.2.4 into master,completed,unknown@unknown.com,2025-02-11 15:21,Pending,0,release/1.2.4,master,1,0,0,True,False
1146,Cancelling speaker event and ipm trip event issues,completed,unknown@unknown.com,2025-02-10 08:50,Pending,0,feature/cancelling-speaker-event-and-ipm-trip-event-issues,develop,2,2,0,True,False
1145,17765: [SPEAKERS] | No notification that a new fil...,completed,unknown@unknown.com,2025-02-09 22:55,Pending,0,feature/17765-Notification-On-SpeakerEvent-FileUpload,develop,2,2,0,True,False
1141,"#17785: [WWR] Update drop down list for ""Prevalenc...",completed,unknown@unknown.com,2025-02-07 07:55,Pending,0,feature/17785-Update-drop-down-list-for-Prevalence-in-SRP-WWR,develop,2,1,0,True,False
1140,16694: [IPM] Notification email on travel trip tra...,completed,unknown@unknown.com,2025-02-05 18:05,Pending,0,feature/16694-Notification-on-trip-changes-fix,develop,2,2,0,True,False
1138,17809 - [IPM] send notification email when a Trip ...,completed,unknown@unknown.com,2025-02-04 23:45,Pending,0,feature/16255-send-notification-on-trips-file-deleted,develop,2,2,0,True,False
1136,Merge master into develop on account of 1.2.3,completed,unknown@unknown.com,2025-02-04 17:36,Pending,0,master,develop,0,0,0,True,False
1135,Merge release 1.2.3 into master,completed,unknown@unknown.com,2025-02-04 17:35,Pending,0,release/1.2.3,master,0,0,0,True,False
1133,Solve the 'Request a Speaker' Page not found issue...,completed,unknown@unknown.com,2025-02-04 14:41,Pending,0,hotfix/17885-Speakers-Solve-Request-a-Speaker-Page-not-Found-issue-for-Hanna,release/1.2.3,2,2,0,True,False
1131,GFR RD 24 report changes,completed,unknown@unknown.com,2025-02-03 10:47,Pending,0,feature/17093-GO-Build-Global-Field-Report-RD-2024-template,develop,2,2,0,True,False
1128,Merge master into develop on account of 1.2.2,completed,unknown@unknown.com,2025-01-30 16:17,Pending,0,master,develop,0,0,0,True,False
1126,Merge release 1.2.2 into master,completed,unknown@unknown.com,2025-01-30 16:15,Pending,0,release/1.2.2,master,0,0,0,True,False
1124,Update ActivityBeneficiary table and the appropria...,completed,unknown@unknown.com,2025-01-28 15:48,Pending,0,feature/17133-update-ActivityBeneficiary-table,develop,2,1,0,True,False
1116,17093 - Create new report template Global Field Re...,completed,unknown@unknown.com,2025-01-21 12:09,Pending,0,feature/17093-GO-Build-Global-Field-Report-RD-2024-template,develop,2,2,0,True,False
1112,Finalize stories from Sprint 25-0 and 25-1 from ja...,completed,unknown@unknown.com,2025-01-20 17:58,Pending,0,feature/sprint-25-0-from-2025-jan-finalize-stories,develop,2,1,0,True,False
1111,Create new report template 'Global Field Report (G...,completed,unknown@unknown.com,2025-01-20 09:17,Pending,0,feature/17090-GO-Build-Global-Field-Report-G-template-2024-onwards,develop,2,2,0,True,False
1109,Merge master into develop on account of 1.2.0,completed,unknown@unknown.com,2025-01-14 12:59,Pending,0,master,develop,1,0,0,True,False
1108,Merge develop into master (nuget packages update),completed,unknown@unknown.com,2025-01-14 11:50,Pending,0,release/1.2.0,master,1,1,0,True,False
1107,Merge master into develop,completed,unknown@unknown.com,2025-01-14 11:23,Pending,0,feature/merge-master-into-develop,develop,1,1,0,True,False
1103,Merge release 1.1.13 into master,completed,unknown@unknown.com,2025-01-08 22:05,Pending,0,release/1.1.13,master,1,0,0,True,False
1102,WWR Create Export of block data for the last three...,completed,unknown@unknown.com,2025-01-08 09:32,Pending,0,hotfix/17028-WWR-Create-Export-of-block-data-for-the-last-three-years,release/1.1.13,1,1,0,True,False
1095,Merge release 1.1.12 into master,completed,unknown@unknown.com,2024-12-11 13:45,Pending,0,release/1.1.12,master,1,0,0,True,False
1093,Zinnia performance optimization - fix 'switch prof...,completed,unknown@unknown.com,2024-12-11 10:16,Pending,0,hotfix/fix-switch-profiles-bottleneck-in-Zinnia,release/1.1.12,1,1,0,True,False
1089,Merge master into develop on account of 1.1.11,abandoned,unknown@unknown.com,2024-12-09 22:26,Pending,0,master,develop,1,0,0,False,True
1088,Merge release 1.1.11 into master,completed,unknown@unknown.com,2024-12-09 22:25,Pending,0,release/1.1.11,master,1,0,0,True,False
1087,[GO] Amending Development base consolidation expor...,completed,unknown@unknown.com,2024-12-09 22:09,Pending,0,hotfix/16689-GO-amending-Development-base-consolidation-export,release/1.1.11,1,0,0,True,False
1086,"Merged PR 1082: .NET 9 upgrade, peformance update",completed,unknown@unknown.com,2024-12-09 18:21,Pending,0,michiele/net9-resubmit,develop,2,2,0,True,False
1085,Revert 'revert',completed,unknown@unknown.com,2024-12-09 09:28,Pending,0,michiele/net9-revert-from-develop-revert-from-master,master,0,0,0,True,False
1084,"Revert '.NET 9 upgrade, peformance update'",completed,unknown@unknown.com,2024-12-09 09:27,Pending,0,michiele/net9-revert-from-develop,develop,0,0,0,True,False
1083,revert,completed,unknown@unknown.com,2024-12-09 09:14,Pending,0,michiele/net9-revert-from-develop,master,0,0,0,True,False
1082,".NET 9 upgrade, peformance update",completed,unknown@unknown.com,2024-12-09 09:12,Pending,0,michiele/net9,develop,0,0,0,True,False
1079,Merge master into develop on account of 1.1.10,completed,unknown@unknown.com,2024-12-02 14:53,Pending,0,master,develop,1,0,0,True,False
1078,Merge release 1.1.10 into master,completed,unknown@unknown.com,2024-12-02 14:52,Pending,0,release/1.1.10,master,1,0,0,True,False
1077,Fix/Update for 'Request allocation tool',completed,unknown@unknown.com,2024-12-02 14:35,Pending,0,hotfix/16697-Fix-Update-for-Request-allocation-tool,release/1.1.10,2,0,0,True,False
1060,Merge master into develop on account of 1.1.9,completed,unknown@unknown.com,2024-11-13 10:47,Pending,0,master,develop,1,0,0,True,False
1059,Merge release 1.1.9 into master,completed,unknown@unknown.com,2024-11-13 10:45,Pending,0,release/1.1.9,master,1,0,0,True,False
1058,Hide 'Report' tab in GO > Search > Activity tab > ...,completed,unknown@unknown.com,2024-11-13 10:30,Pending,0,hotfix/15973--GO]--BUG]-Hide-TAB-in-Activity-view,release/1.1.9,1,0,0,True,False
1050,Merge master into develop on account of 1.1.8,completed,unknown@unknown.com,2024-11-08 13:40,Pending,0,master,develop,1,0,0,True,False
1049,Merge release 1.1.8 into master,completed,unknown@unknown.com,2024-11-08 13:39,Pending,0,release/1.1.8,master,1,0,0,True,False
1048,Zinnia Go - Development base exports contain no da...,completed,unknown@unknown.com,2024-11-08 12:32,Pending,0,hotfix/16466-Development-base-exports-contain-no-data-any-year,release/1.1.8,1,1,0,True,False
1041,Merge master into develop on account of 1.1.7,completed,unknown@unknown.com,2024-11-04 12:05,Pending,0,master,develop,1,0,0,True,False
1040,Merge release 1.1.7 into master,completed,unknown@unknown.com,2024-11-04 12:03,Pending,0,release/1.1.7,master,1,0,0,True,False
1039,"Update to Teams and Derived User Profile, based on...",completed,unknown@unknown.com,2024-11-04 11:47,Pending,0,feature/Teams-and-Derived-User-Profile-Updates-based-on-user-region-intime-structure,develop,1,0,0,True,False
1038,Nuget package updates,completed,unknown@unknown.com,2024-11-04 09:58,Pending,0,michiele/update,develop,2,2,0,True,False
1037,Nuget package update,abandoned,unknown@unknown.com,2024-11-04 09:56,Pending,0,michiele/update,master,0,0,0,False,True
1036,Merge master into develop on account of 1.1.6,completed,unknown@unknown.com,2024-10-29 18:28,Pending,0,master,develop,1,0,0,True,False
1035,Merge release 1.1.6 into master,completed,unknown@unknown.com,2024-10-29 18:27,Pending,0,release/1.1.6,master,1,0,0,True,False
1034,"[IPM] - Remove the time, only leaving the dates - ...",completed,unknown@unknown.com,2024-10-29 18:06,Pending,0,feature/15952-IPM-Remove-the-time-only-leaving-the-dates-from-trip-changes-were-made-notification-email,develop,1,0,0,True,False
1033,Merge master into develop on account of 1.1.5,completed,unknown@unknown.com,2024-10-28 16:36,Pending,0,master,develop,1,0,0,True,False
1032,Merge release 1.1.5 into master,completed,unknown@unknown.com,2024-10-28 16:34,Pending,0,release/1.1.5,master,1,0,0,True,False
1031,Update top right selector in Zinnia interface to r...,completed,unknown@unknown.com,2024-10-28 16:15,Pending,0,feature/visually-identify-user-current-profile-top-right-selector,develop,1,0,0,True,False
1030,Merge master into develop on account of 1.1.4,completed,unknown@unknown.com,2024-10-25 16:57,Pending,0,master,develop,1,0,0,True,False
1029,Merge release 1.1.4 into master,completed,unknown@unknown.com,2024-10-25 16:56,Pending,0,release/1.1.4,master,1,0,0,True,False
1028,Fix research/articles download excel file,completed,unknown@unknown.com,2024-10-25 16:37,Pending,0,hotfix/16081-fix-research-articles-download-excel-file,release/1.1.4,1,0,0,True,False
1022,Merge master into develop on account of 1.1.3,completed,unknown@unknown.com,2024-10-15 11:47,Pending,0,master,develop,1,0,0,True,False
1021,Merge release 1.1.3 into master,completed,unknown@unknown.com,2024-10-15 11:44,Pending,0,release/1.1.3,master,1,0,0,True,False
1020,Merge master into develop on account of 1.1.2,completed,unknown@unknown.com,2024-10-02 16:41,Pending,0,master,develop,1,0,0,True,False
1019,Merge release 1.1.2 into master,completed,unknown@unknown.com,2024-10-02 16:40,Pending,0,release/1.1.2,master,1,0,0,True,False
1017,Merge master into develop on account of 1.1.1,completed,unknown@unknown.com,2024-10-02 13:01,Pending,0,master,develop,1,0,0,True,False
1016,Merge release 1.1.1 into master,completed,unknown@unknown.com,2024-10-02 12:59,Pending,0,release/1.1.1,master,1,0,0,True,False
1015,Merge master into develop on account of 1.1.0,completed,unknown@unknown.com,2024-10-01 13:36,Pending,0,master,develop,1,0,0,True,False
1014,Merge release 1.1.0 into master,completed,unknown@unknown.com,2024-10-01 13:34,Pending,0,release/1.1.0,master,1,0,0,True,False
1008,Merge master into develop on account of 1.0.3,completed,unknown@unknown.com,2024-09-25 21:06,Pending,0,master,develop,1,0,0,True,False
1007,Merge release 1.0.3 into master,completed,unknown@unknown.com,2024-09-25 21:04,Pending,0,release/1.0.3,master,1,0,0,True,False
1006,Merge master into develop on account of 1.0.2,completed,unknown@unknown.com,2024-09-25 19:39,Pending,0,master,develop,1,0,0,True,False
1005,Merge release 1.0.2 into master,completed,unknown@unknown.com,2024-09-25 19:38,Pending,0,release/1.0.2,master,1,0,0,True,False
1004,Merge master into develop on account of 1.0.1,completed,unknown@unknown.com,2024-09-25 17:03,Pending,0,master,develop,1,0,0,True,False
1003,Revert 'Merge release 1.0.1 into master',completed,unknown@unknown.com,2024-09-25 16:57,Pending,0,release/1.0.1-revert-from-master,master,1,0,0,True,False
1002,Merge release 1.0.1 into master,completed,unknown@unknown.com,2024-09-25 16:50,Pending,0,release/1.0.1,master,1,0,0,True,False
997,Align report dashboards to the new user-region-in-...,completed,unknown@unknown.com,2024-09-09 18:21,Pending,0,feature/update-Activity-Reports-Dashboard-to-use-user-region-in-time,zinniacloud-framework,1,1,0,True,False
991,#15291 fix APR downloading for 2022,completed,unknown@unknown.com,2024-08-26 13:50,Pending,0,feature/15291-hotfix,zinniacloud-framework,1,1,0,True,False
984,Update user models to use the new user region in t...,completed,unknown@unknown.com,2024-08-20 20:45,Pending,0,feature/update-user-models-with-user-region-in-time-structure,zinniacloud-framework,1,1,0,True,False
981,Zinnia Code Refactoring/Fixing Formatting,completed,unknown@unknown.com,2024-08-19 12:10,Pending,0,feature/refactor-user-models,zinniacloud-framework,1,1,0,True,False
979,Set the user base per year according to the new us...,completed,unknown@unknown.com,2024-08-16 21:37,Pending,0,feature/14137-setup-user-base-per-year-fix-issue,zinniacloud-framework,1,0,0,True,False
978,[GO-URT-1] Set the user base per year according to...,completed,unknown@unknown.com,2024-08-15 17:37,Pending,0,feature/14137-setup-user-base-per-year,zinniacloud-framework,1,1,0,True,False
974,Fix BackgroundJobs - Hangfire,completed,unknown@unknown.com,2024-08-02 17:50,Pending,0,feature/Fix-BackgroundJobs,zinniacloud-framework,1,1,0,True,False
972,[WWR] Export Full Country Dossier report into two ...,completed,unknown@unknown.com,2024-08-01 15:08,Pending,0,feature/14873--WWR]-Export-Full-Country-Dossier-report-into-two-new-download-docx-files-extra-requirements,zinniacloud-framework,1,0,0,True,False
968,"Reorder IPM documentation library, to make folders...",completed,unknown@unknown.com,2024-07-24 08:47,Pending,0,feature/8991-IPM-reorder-documentation-to-make-folders-as-main-view-based-on-compliance-matrix-view,zinniacloud-framework,1,1,0,True,False
966,Remove old admin emails from code repository and a...,completed,unknown@unknown.com,2024-07-19 16:28,Pending,0,feature/14769-Remove-old-admin-emails-from-code-repository-and-add-use-new-admin-email-through-appsettings.json,zinniacloud-framework,0,0,0,True,False
960,POC on Full Country Dossier - new option to choose...,completed,unknown@unknown.com,2024-07-15 12:00,Pending,0,feature/14530-POC-on-Full-Country-Dossier-option-to-choose-in-which-download-file-to-include-a-section-or-chapter,zinniacloud-framework,1,1,0,True,False
956,GO>My World>[country]>Export>Consolidation: Add Ch...,completed,unknown@unknown.com,2024-07-10 09:06,Pending,0,feature/14507-GO-MyWorld-country-Export-Consolidation-Add-Chart-Sql-Script-to-Repository,zinniacloud-framework,1,0,0,True,False
953,"Update for ""Using the GO>Export>GO Activity multi ...",completed,unknown@unknown.com,2024-07-08 10:53,Pending,0,feature/14303-Add-Beneficiary-for-GO-Export-GO-Activity-multi-year-export-add-the-beneficiary-columns,zinniacloud-framework,1,0,0,True,False
951,IPM Travel Trip: track travel trip changes and not...,completed,unknown@unknown.com,2024-07-03 20:55,Pending,0,feature/11801-Change-in-automated-message-every-time-Global-updates-IPM,zinniacloud-framework,1,1,0,True,False
948,#14216 - Fix for GO>Export>GO Activity multi year ...,completed,unknown@unknown.com,2024-06-28 15:37,Pending,0,feature/14216-Fix-for-GO-Export-GO-Activity-multi-year-export-add-the-beneficiary-columns,zinniacloud-framework,0,0,0,True,False
944,GO: Add new beneficiary columns in the Activity mu...,completed,unknown@unknown.com,2024-06-28 13:00,Pending,0,feature/14032-GO-Export-Activity-multi-year-export-add-the-beneficiary-columns-on-export-box,zinniacloud-framework,1,0,0,True,False
932,"On role details popup page > Members tab, show the...",completed,unknown@unknown.com,2024-06-19 16:20,Pending,0,feature/13442-user-region-in-time,zinniacloud-framework,1,1,0,True,False
931,#13949 : #INC-3265 > ZINNIA - URGENT unable to cre...,completed,unknown@unknown.com,2024-06-19 10:57,Pending,0,feature/13949-ZINNIA-URGENT-unable-to-create-new-packages,zinniacloud-framework,1,1,0,True,False
930,Sort regions from 'Full compliance PI dashboard' a...,completed,unknown@unknown.com,2024-06-17 16:47,Pending,0,feature/13909-Sort-regions-from-Full-compliance-PI-dashboard-after-base-namea-alphabetical-asc,zinniacloud-framework,1,1,0,True,False
929,Update charts SQL scripts for Reporting > Full com...,completed,unknown@unknown.com,2024-06-17 14:59,Pending,0,feature/13852-update-chart-sqlscripts-for-Full-compliance-PI-dashboard,zinniacloud-framework,1,1,0,True,False
926,Nuget package update,abandoned,unknown@unknown.com,2024-06-14 08:44,Pending,0,michiele/updates-nuget,zinniacloud-framework,0,0,0,False,True
925,#INC-2856 > WWL: FW: WWR work / Zinnia - WCD data ...,completed,unknown@unknown.com,2024-06-13 15:04,Pending,0,feature/13686-INC-2856-WCD-data-for-WWL-2025-imported-but-correction-needed,zinniacloud-framework,1,1,0,True,False
918,Change the headlines of the PI Compliance Dashboar...,completed,unknown@unknown.com,2024-06-10 10:21,Pending,0,feature/7839-As-PI-I-want-to-change-the-headlines-of-the-PI-Compliance-Dashboard-to-reflect-Compliant-and-Non-Compliant-Status,zinniacloud-framework,1,1,0,True,False
915,Feedback on access to my specific new region struc...,completed,unknown@unknown.com,2024-06-06 08:02,Pending,0,feature/13688-Feedback-on-access-to-my-specific-new-region-structure-in-Impact-My-World,zinniacloud-framework,1,1,0,True,False
912,Upgrade Zinnia packages,completed,unknown@unknown.com,2024-06-05 09:53,Pending,0,feature/13701-upgrade-Zinnia-packages,zinniacloud-framework,1,1,0,True,False
910,Finalize the new Financial Audit Report named 'In-...,completed,unknown@unknown.com,2024-06-03 17:11,Pending,0,feature/13568-Finalize-the-new-Financial-Audit-Report-named-In-Year-Granting-Financial-Summary,zinniacloud-framework,1,1,0,True,False
904,Update Impact > My World section to use the new co...,completed,unknown@unknown.com,2024-05-27 19:58,Pending,0,feature/6721-As-Field-I-want-to-access-my-specific-new-region-structure-in-Impact-My-World,zinniacloud-framework,1,1,0,True,False
900,Create new Financial Audit Report named 'In-Year G...,completed,unknown@unknown.com,2024-05-24 14:20,Pending,0,feature/10693-new-Financial-Audit-Report-named-In-Year-Granting-Financial-Summary,zinniacloud-framework,2,2,0,True,False
898,Add Major Donor Funding visibility (Column) to the...,completed,unknown@unknown.com,2024-05-21 16:40,Pending,0,feature/13107-add-Major-Donor-Funding-visibility-to-the-search-view-in-GO-Search,zinniacloud-framework,2,1,0,True,False
893,"Sync Zinnia 'functions', some 'stored procedures' ...",completed,unknown@unknown.com,2024-05-20 11:20,Pending,0,feature/13343-Sync-Zinnia-functions-some-stored-procedures-and-views-on-PROD-with-the-scripts-from-SqlScripts-Raw-folder,zinniacloud-framework,1,0,0,True,False
884,Add Major Donor Funding visibility (Column) to the...,abandoned,unknown@unknown.com,2024-05-14 16:54,Pending,0,feature/13107-add-Major-Donor-Funding-visibility-to-the-search-view-in-GO-Search,zinniacloud-framework,0,0,0,False,True
880,Added beneficiaries to package quick pane,completed,unknown@unknown.com,2024-05-10 09:08,Pending,0,feature/PackagaeBeneficaries,zinniacloud-framework,2,2,0,True,False
879,Speaker: track event changes and notify users,completed,unknown@unknown.com,2024-05-09 18:12,Pending,0,feature/12036-Speaker-Track-event-changes-and-notify-users,zinniacloud-framework,2,2,0,True,False
877,Mark activities that have major donor funding/gift...,completed,unknown@unknown.com,2024-05-08 12:14,Pending,0,feature/10036-mark-activities-that-have-major-donor-funding-gifts-against-them-in-the-Activity-Reporting-portal,zinniacloud-framework,2,2,0,True,False
866,Automatic notification from Zinnia to Dev and Fiel...,completed,unknown@unknown.com,2024-04-30 10:31,Pending,0,feature/11964-Automatic-notification-from-Zinnia-to-Dev-and-Field,zinniacloud-framework,2,2,0,True,False
